Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date
Red Sorghum,-,-,-,Ngurubani Market,83.33/Kg,110.00/Kg,2150,Kirinyaga,2026-02-11
Red Sorghum,-,-,-,Makutano Kirinyaga,65.00/Kg,80.00/Kg,650,Kirinyaga,2026-02-11
Red Sorghum,-,-,-,Kitale Municipality Market,75.00/Kg,90.00/Kg,200,Trans-Nzoia,2026-02-11
Red Sorghum,-,-,-,Bondeni,75.00/Kg,90.00/Kg,200,Trans-Nzoia,2026-02-10
Red Sorghum,-,-,-,Holo,65.00/Kg,75.00/Kg,,Kisumu,2026-02-10
Red Sorghum,-,-,-,Maua,90.00/Kg,100.00/Kg,1200,Meru,2026-02-10
Red Sorghum,-,-,-,Gikomba,72.22/Kg,100.00/Kg,,Nairobi,2026-02-10
Red Sorghum,-,-,-,Kitale Municipality Market,75.00/Kg,90.00/Kg,300,Trans-Nzoia,2026-02-10
Red Sorghum,-,-,-,Ngurubani Market,80.00/Kg,100.00/Kg,2150,Kirinyaga,2026-02-09
Red Sorghum,-,-,-,Kutus,90.00/Kg,125.00/Kg,,Kirinyaga,2026-02-09
